"Time","flink-taskmanager-658b48fc8c-nrb28"
2023-02-20 16:19:45,0.659
2023-02-20 16:20:00,0.650
2023-02-20 16:20:15,0.641
2023-02-20 16:20:30,0.632
2023-02-20 16:20:45,0.622
2023-02-20 16:21:00,0.598
2023-02-20 16:21:15,0.570
2023-02-20 16:21:30,0.562
2023-02-20 16:21:45,0.553
2023-02-20 16:22:00,0.548
2023-02-20 16:22:15,0.542
2023-02-20 16:22:30,0.536
2023-02-20 16:22:45,0.526
2023-02-20 16:23:00,0.529
2023-02-20 16:23:15,0.517
2023-02-20 16:23:30,0.509
2023-02-20 16:23:45,0.510
2023-02-20 16:24:00,0.502
2023-02-20 16:24:15,0.495
2023-02-20 16:24:30,0.490
2023-02-20 16:24:45,0.492
2023-02-20 16:25:00,0.473
2023-02-20 16:25:15,0.460
2023-02-20 16:25:30,0.459
2023-02-20 16:25:45,0.441
2023-02-20 16:26:00,0.430
2023-02-20 16:26:15,0.415
2023-02-20 16:26:30,0.411
2023-02-20 16:26:45,0.390
2023-02-20 16:27:00,0.391
2023-02-20 16:27:15,0.389
2023-02-20 16:27:30,0.380
2023-02-20 16:27:45,0.368
2023-02-20 16:28:00,0.360
2023-02-20 16:28:15,0.355
2023-02-20 16:28:30,0.347
2023-02-20 16:28:45,0.341
2023-02-20 16:29:00,0.326
2023-02-20 16:29:15,0.314
2023-02-20 16:29:30,0.312
2023-02-20 16:29:45,0.305
2023-02-20 16:30:00,0.302
2023-02-20 16:30:15,0.294
2023-02-20 16:30:30,0.282
2023-02-20 16:30:45,0.289
2023-02-20 16:31:00,0.282
2023-02-20 16:31:15,0.276
2023-02-20 16:31:30,0.259
2023-02-20 16:31:45,0.251
2023-02-20 16:32:00,0.256
2023-02-20 16:32:15,0.250
2023-02-20 16:32:30,0.239
2023-02-20 16:32:45,0.222
2023-02-20 16:33:00,0.214
2023-02-20 16:33:15,0.211
2023-02-20 16:33:30,0.218
2023-02-20 16:33:45,0.214
2023-02-20 16:34:00,0.198
2023-02-20 16:34:15,0.197
2023-02-20 16:34:30,0.194
2023-02-20 16:34:45,0.189
2023-02-20 16:35:00,0.201
2023-02-20 16:35:15,0.198
2023-02-20 16:35:30,0.190
2023-02-20 16:35:45,0.188
2023-02-20 16:36:00,0.187
2023-02-20 16:36:15,0.187
2023-02-20 16:36:30,0.187
2023-02-20 16:36:45,0.196
2023-02-20 16:37:00,0.185
2023-02-20 16:37:15,0.186
2023-02-20 16:37:30,0.181
2023-02-20 16:37:45,0.184
2023-02-20 16:38:00,0.186
2023-02-20 16:38:15,0.196
2023-02-20 16:38:30,0.197
2023-02-20 16:38:45,0.191
2023-02-20 16:39:00,0.193
2023-02-20 16:39:15,0.192
2023-02-20 16:39:30,0.196
2023-02-20 16:39:45,0.209
2023-02-20 16:40:00,0.214
2023-02-20 16:40:15,0.208
2023-02-20 16:40:30,0.211
2023-02-20 16:40:45,0.212
2023-02-20 16:41:00,0.216
2023-02-20 16:41:15,0.233
2023-02-20 16:41:30,0.240
2023-02-20 16:41:45,0.230
2023-02-20 16:42:00,0.233
2023-02-20 16:42:15,0.239
2023-02-20 16:42:30,0.256
2023-02-20 16:42:45,0.263
2023-02-20 16:43:00,0.266
2023-02-20 16:43:15,0.263
2023-02-20 16:43:30,0.264
2023-02-20 16:43:45,0.281
2023-02-20 16:44:00,0.287
2023-02-20 16:44:15,0.293
2023-02-20 16:44:30,0.285
2023-02-20 16:44:45,0.299
2023-02-20 16:45:00,0.307
2023-02-20 16:45:15,0.315
2023-02-20 16:45:30,0.324
2023-02-20 16:45:45,0.326
2023-02-20 16:46:00,0.332
2023-02-20 16:46:15,0.343
2023-02-20 16:46:30,0.355
2023-02-20 16:46:45,0.355
2023-02-20 16:47:00,0.362
2023-02-20 16:47:15,0.370
2023-02-20 16:47:30,0.376
2023-02-20 16:47:45,0.386
2023-02-20 16:48:00,0.395
2023-02-20 16:48:15,0.409
2023-02-20 16:48:30,0.420
2023-02-20 16:48:45,0.431
2023-02-20 16:49:00,0.449
2023-02-20 16:49:15,0.458
2023-02-20 16:49:30,0.466
2023-02-20 16:49:45,0.488
2023-02-20 16:50:00,0.498

